rep,bench,arm,ns_per_op,err_pct,probe_off,probe_on
7,WalletCreateTxUsePresetInputsAndCoinSelection,base,15624791.67,0.8,0.2225,0.8715
7,CCoinsCaching,null,162.12,1.1,0.2225,0.8715
7,CoinSelection,null,3134691.60,0.1,0.2225,0.8715
7,ComplexMemPool,null,35079667.00,1.4,0.2225,0.8715
7,ConnectBlockAllEcdsa,null,26902562.50,0.1,0.2225,0.8715
7,DeserializeBlockTest,null,737214.94,0.1,0.2225,0.8715
7,MemPoolAddTransactions,null,68695041.00,0.2,0.2225,0.8715
7,SignTransactionECDSA,null,54872.18,0.1,0.2225,0.8715
7,SignTransactionSchnorr,null,43337.20,0.0,0.2225,0.8715
7,TxGraphTrim,null,9281166.00,0.0,0.2225,0.8715
7,WalletAvailableCoins,null,26276354.00,0.0,0.2225,0.8715
7,WalletCreateTxUsePresetInputsAndCoinSelection,null,15731013.67,0.5,0.2225,0.8715
8,CCoinsCaching,base,168.20,2.1,0.2273,0.8697
8,CoinSelection,base,3142283.30,0.4,0.2273,0.8697
8,ComplexMemPool,base,34619958.00,1.4,0.2273,0.8697
8,ConnectBlockAllEcdsa,base,27008229.00,0.6,0.2273,0.8697
8,DeserializeBlockTest,base,734728.87,0.1,0.2273,0.8697
8,MemPoolAddTransactions,base,68320708.00,0.8,0.2273,0.8697
8,SignTransactionECDSA,base,57000.66,0.1,0.2273,0.8697
8,SignTransactionSchnorr,base,43352.60,0.0,0.2273,0.8697
8,TxGraphTrim,base,9355625.00,0.0,0.2273,0.8697
8,WalletAvailableCoins,base,26321812.50,0.1,0.2273,0.8697
8,WalletCreateTxUsePresetInputsAndCoinSelection,base,15709666.67,0.5,0.2273,0.8697
8,CCoinsCaching,null,169.57,2.0,0.2273,0.8697
8,CoinSelection,null,3113154.20,0.2,0.2273,0.8697
8,ComplexMemPool,null,34520166.00,1.6,0.2273,0.8697
8,ConnectBlockAllEcdsa,null,26907000.00,0.2,0.2273,0.8697
8,DeserializeBlockTest,null,739334.58,0.2,0.2273,0.8697
8,MemPoolAddTransactions,null,68491375.00,0.8,0.2273,0.8697
8,SignTransactionECDSA,null,61060.53,0.1,0.2273,0.8697
8,SignTransactionSchnorr,null,43271.47,0.0,0.2273,0.8697
8,TxGraphTrim,null,9426125.00,0.0,0.2273,0.8697
