scenario,config,gap,cycles,insts,predictions,load_predictions,behind_clear,behind_clear_retired,in_sequence,leak_entry,behind_set_squashed,behind_clear_squashed_younger,behind_clear_squashed_samepath,rename_serializing,dit_tagged_set,branch_mispredicts,value_mispredicts,claim_violations,clears_committed,clears_reg_committed,early_published,early_lead_cycles,held_branch,held_valuepred,checksum
branch,frontier-reg,96,332541.0,807228.0,106567.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6039.0,164516.0,123.0,0.0,0.0,0.0,11844.0,0.0,0.0,0.0,0.0,67725
branch,frontier-reg,192,475970.0,1375644.0,106760.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6041.0,164518.0,125.0,0.0,0.0,0.0,11844.0,0.0,0.0,0.0,0.0,67725
branch,commit,0,217290.0,227033.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6039.0,259260.0,123.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,commit,6,221560.0,262559.0,77.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6039.0,258568.0,123.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,commit,12,227813.0,298085.0,142.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6038.0,259072.0,121.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,commit,24,263242.0,369137.0,130.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6038.0,258543.0,122.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,commit,48,282292.0,511241.0,94865.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6040.0,164495.0,124.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,commit,96,340697.0,795449.0,94865.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6041.0,164111.0,125.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,commit,192,483275.0,1363865.0,94865.0,94736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6039.0,164537.0,123.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,writeback,0,211504.0,227033.0,66110.0,65981.0,65981.0,65387.0,594.0,0.0,0.0,0.0,0.0,6039.0,193279.0,123.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
branch,writeback,6,221560.0,262559.0,79740.0,79611.0,79599.0,78918.0,681.0,0.0,0.0,0.0,0.0,6039.0,178969.0,123.0,0.0,0.0,5922.0,0.0,0.0,0.0,0.0,0.0,67725
