benchmark,arm,archive,rep,mean_ticks,n,dit_exit,cycle_src,timer_src,tot_cyc,tot_ins,map_stall,flush,reg_cyc,reg_ins,reg_n,samp_cyc,samp_ins,samp_n,samp_every,pmc_off,reg_drop,pinned
chacha20_poly1305_encrypt,A,base,12,259.157,1000,0,pmc,cntvct,0,0,0,0,269718,0,1025,16890,78992,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,12,269.161,1000,1,pmc,cntvct,0,0,0,0,279913,0,1025,16912,78992,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,12,299.394,1000,0,pmc,cntvct,0,0,0,0,312393,0,1025,20068,79248,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,12,272.349,1000,0,pmc,cntvct,0,0,0,0,282934,0,1025,17693,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,12,539.178,1000,0,pmc,cntvct,0,0,0,0,559072,0,1025,36463,80160,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,13,261.930,1000,0,pmc,cntvct,0,0,0,0,273364,0,1025,16923,78992,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,13,266.865,1000,1,pmc,cntvct,0,0,0,0,277546,0,1025,16830,78992,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,13,315.682,1000,0,pmc,cntvct,0,0,0,0,329073,0,1025,20113,79248,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,13,258.487,1000,0,pmc,cntvct,0,0,0,0,268882,0,1025,16885,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,13,533.232,1000,0,pmc,cntvct,0,0,0,0,552456,0,1025,36390,80160,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,13,259.499,1000,0,pmc,cntvct,0,0,0,0,272393,0,1025,17023,80080,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,14,279.384,1000,1,pmc,cntvct,0,0,0,0,290697,0,1025,17584,78992,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,14,304.580,1000,0,pmc,cntvct,0,0,0,0,316179,0,1025,20018,79248,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,14,263.313,1000,0,pmc,cntvct,0,0,0,0,273763,0,1025,16900,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,14,531.789,1000,0,pmc,cntvct,0,0,0,0,551511,0,1025,36137,80160,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,14,275.734,1000,0,pmc,cntvct,0,0,0,0,288860,0,1025,17605,80080,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,14,258.519,1000,0,pmc,cntvct,0,0,0,0,268561,0,1025,16857,78992,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,15,305.146,1000,0,pmc,cntvct,0,0,0,0,317476,0,1025,20060,79247,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,15,269.074,1000,0,pmc,cntvct,0,0,0,0,279866,0,1025,17550,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,15,534.200,1000,0,pmc,cntvct,0,0,0,0,554321,0,1025,36397,80160,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,15,259.146,1000,0,pmc,cntvct,0,0,0,0,271707,0,1025,17119,80080,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,15,256.429,1000,0,pmc,cntvct,0,0,0,0,267179,0,1025,16915,78992,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,15,269.487,1000,1,pmc,cntvct,0,0,0,0,280906,0,1025,16994,78993,16,64,1,0,9
chacha20_poly1305_decrypt,A,base,1,275.926,1000,0,pmc,cntvct,0,0,0,0,283509,0,1025,18508,83200,16,64,1,0,9
chacha20_poly1305_decrypt,C,base,1,284.962,1000,1,pmc,cntvct,0,0,0,0,292379,0,1025,19750,83200,16,64,1,0,9
chacha20_poly1305_decrypt,B,base,1,314.849,1000,0,pmc,cntvct,0,0,0,0,322976,0,1025,21802,83456,16,64,1,0,9
chacha20_poly1305_decrypt,T,base,1,274.352,1000,0,pmc,cntvct,0,0,0,0,281727,0,1025,18818,83456,16,64,1,0,9
